"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","TCP","74","60668  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280356040 TSecr=0 WS=128"
"3","0.000014090","127.0.0.1","127.0.0.1","TCP","66","60668  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280356040 TSecr=2280356040"
"4","0.000040604","127.0.0.1","127.0.0.1","TCP","70","60668  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280356040 TSecr=2280356040"
"6","0.000047900","127.0.0.1","127.0.0.1","TCP","68","60668  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280356040 TSecr=2280356040 [TCP segment of a reassembled PDU]"
"9","0.002413822","127.0.0.1","127.0.0.1","TCP","66","60668  >  8080 [ACK] Seq=7 Ack=13 Win=65536 Len=0 TSval=2280356043 TSecr=2280356043"
"11","1.006536516","127.0.0.1","127.0.0.1","TCP","66","60668  >  8080 [ACK] Seq=7 Ack=21 Win=65536 Len=0 TSval=2280357047 TSecr=2280357047"
"13","1.006583370","127.0.0.1","127.0.0.1","TCP","66","60668  >  8080 [ACK] Seq=7 Ack=220 Win=65408 Len=0 TSval=2280357047 TSecr=2280357047"
"14","2.012634188","127.0.0.1","127.0.0.1","TCP","70","60668  >  8080 [PSH, ACK] Seq=7 Ack=220 Win=65536 Len=4 TSval=2280358053 TSecr=2280357047 [TCP segment of a reassembled PDU]"
"16","2.012679053","127.0.0.1","127.0.0.1","TCP","83","60668  >  8080 [PSH, ACK] Seq=11 Ack=220 Win=65536 Len=17 TSval=2280358053 TSecr=2280358053"
"18","2.012708872","127.0.0.1","127.0.0.1","TCP","66","60668  >  8080 [FIN, ACK] Seq=28 Ack=220 Win=65536 Len=0 TSval=2280358053 TSecr=2280358053"
"20","2.012776069","127.0.0.1","127.0.0.1","TCP","66","60668  >  8080 [ACK] Seq=29 Ack=221 Win=65536 Len=0 TSval=2280358053 TSecr=2280358053"
"21","2.014131639","127.0.0.1","127.0.0.1","TCP","74","60670  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280358055 TSecr=0 WS=128"
"23","2.014143439","127.0.0.1","127.0.0.1","TCP","66","60670  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280358055 TSecr=2280358055"
"24","2.014172945","127.0.0.1","127.0.0.1","TCP","70","60670  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280358055 TSecr=2280358055"
"26","2.014181047","127.0.0.1","127.0.0.1","TCP","68","60670  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280358055 TSecr=2280358055 [TCP segment of a reassembled PDU]"
"29","2.016595726","127.0.0.1","127.0.0.1","TCP","66","60670  >  8080 [ACK] Seq=7 Ack=13 Win=65536 Len=0 TSval=2280358057 TSecr=2280358057"
"31","3.018078304","127.0.0.1","127.0.0.1","TCP","66","60670  >  8080 [ACK] Seq=7 Ack=21 Win=65536 Len=0 TSval=2280359058 TSecr=2280359058"
"33","3.018090502","127.0.0.1","127.0.0.1","TCP","66","60670  >  8080 [ACK] Seq=7 Ack=220 Win=65408 Len=0 TSval=2280359058 TSecr=2280359058"
"34","4.026177036","127.0.0.1","127.0.0.1","TCP","70","60670  >  8080 [PSH, ACK] Seq=7 Ack=220 Win=65536 Len=4 TSval=2280360067 TSecr=2280359058 [TCP segment of a reassembled PDU]"
"36","4.026211327","127.0.0.1","127.0.0.1","TCP","83","60670  >  8080 [PSH, ACK] Seq=11 Ack=220 Win=65536 Len=17 TSval=2280360067 TSecr=2280360067"
"38","4.026244382","127.0.0.1","127.0.0.1","TCP","66","60670  >  8080 [FIN, ACK] Seq=28 Ack=220 Win=65536 Len=0 TSval=2280360067 TSecr=2280360067"
"40","4.026287221","127.0.0.1","127.0.0.1","TCP","66","60670  >  8080 [ACK] Seq=29 Ack=221 Win=65536 Len=0 TSval=2280360067 TSecr=2280360067"
"41","4.027853802","127.0.0.1","127.0.0.1","TCP","74","60672  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280360068 TSecr=0 WS=128"
"43","4.027866000","127.0.0.1","127.0.0.1","TCP","66","60672  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280360068 TSecr=2280360068"
"44","4.027897925","127.0.0.1","127.0.0.1","TCP","70","60672  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280360068 TSecr=2280360068"
"46","4.027907049","127.0.0.1","127.0.0.1","TCP","68","60672  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280360068 TSecr=2280360068 [TCP segment of a reassembled PDU]"
"49","4.030569206","127.0.0.1","127.0.0.1","TCP","66","60672  >  8080 [ACK] Seq=7 Ack=13 Win=65536 Len=0 TSval=2280360071 TSecr=2280360071"
"51","5.032567297","127.0.0.1","127.0.0.1","TCP","66","60672  >  8080 [ACK] Seq=7 Ack=21 Win=65536 Len=0 TSval=2280361073 TSecr=2280361073"
"53","5.032627378","127.0.0.1","127.0.0.1","TCP","66","60672  >  8080 [ACK] Seq=7 Ack=220 Win=65408 Len=0 TSval=2280361073 TSecr=2280361073"
"54","6.043190544","127.0.0.1","127.0.0.1","TCP","70","60672  >  8080 [PSH, ACK] Seq=7 Ack=220 Win=65536 Len=4 TSval=2280362084 TSecr=2280361073 [TCP segment of a reassembled PDU]"
"56","6.043313156","127.0.0.1","127.0.0.1","TCP","83","60672  >  8080 [PSH, ACK] Seq=11 Ack=220 Win=65536 Len=17 TSval=2280362084 TSecr=2280362084"
"58","6.043431557","127.0.0.1","127.0.0.1","TCP","66","60672  >  8080 [FIN, ACK] Seq=28 Ack=220 Win=65536 Len=0 TSval=2280362084 TSecr=2280362084"
"60","6.043546103","127.0.0.1","127.0.0.1","TCP","66","60672  >  8080 [ACK] Seq=29 Ack=221 Win=65536 Len=0 TSval=2280362084 TSecr=2280362084"
"61","6.048900943","127.0.0.1","127.0.0.1","TCP","74","60674  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280362089 TSecr=0 WS=128"
"63","6.048944279","127.0.0.1","127.0.0.1","TCP","66","60674  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280362089 TSecr=2280362089"
"64","6.049205262","127.0.0.1","127.0.0.1","TCP","70","60674  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280362090 TSecr=2280362089"
